Name,Id
先锋剑,9
暴乱剑,15
盾牌猛击,16
预警,17
战逃反应,20
战女神之怒,21
厄运流转,23
投盾,24
保护,27
钢铁信念,28
深奥之灵,29
神圣领域,30
重劈,31
凶残裂,37
狂暴,38
战栗,40
超压斧,41
暴风斩,42
死斗,43
复仇,44
暴风碎,45
飞斧,46
守护,48
原初之魂,49
钢铁旋风,51
战嚎,52
连击,53
正拳,54
崩拳,56
金刚体势,60
双掌打,61
破坏神冲,62
红莲体势,63
真言,65
破碎拳,66
震脚,69
地烈劲,70
罗刹冲,71
疾风体势,73
双龙脚,74
精准刺,75
贯通刺,78
龙剑,83
直刺,84
猛枪,85
死天枪,86
开膛枪,87
樱花怒放,88
贯穿尖,90
跳跃,92
回避跳跃,94
破碎冲,95
龙炎冲,96
强力射击,97
直线射击,98
毒咬箭,100
猛者强击,101
连珠箭,106
纷乱箭,107
失血箭,110
后跃射击,112
风蚀箭,113
贤者的叙事谣,114
军神的赞美歌,116
死亡箭雨,117
战斗之声,118
飞石,119
治疗,120
疾风,121
医治,124
复活,125
坚石,127
愈疗,131
烈风,132
医济,133
水流环,134
救疗,135
神速咏唱,136
再生,137
神圣,139
天赐祝福,140
火炎,141
冰结,142
闪雷,144
催眠,145
冰冻,146
烈炎,147
星灵移位,149
爆炎,152
暴雷,153
冰封,154
以太步,155
崩溃,156
魔罩,157
魔泉,158
玄冰,159
核爆,162
毁灭,163
毒菌,164
召唤,165
以太超流,166
能量吸收,167
瘴气,168
召唤II,170
毁坏,172
复生,173
灾祸,174
猛毒菌,178
召唤III,180
溃烂爆发,181
内力迸发,184
鼓舞激励之策,185
士气高扬之策,186
野战治疗阵,188
生命活性法,189
医术,190
利爪,633
黄宝石之光,634
硬化,635
冲撞,636
突风,637
吹飞,638
下行突风,639
绿宝石之光,640
碎岩,787
山崩,788
大地之护,789
地裂,790
大地之怒,791
烈风刃,792
震荡波,793
大气风斩,794
歪风,795
大气爆发,796
深红旋风,797
燃火强袭,798
辉煌盾,799
烈焰碎击,800
地狱之火炎,801
仙光的拥抱,802
异想的盟光,804
月光的拥抱,806
月光的沉默,807
异想的炽光,808
异想的辉光,809
异想的柔光,810
异想的流光,811
双刃旋,2240
残影,2241
绝风,2242
隐遁,2245
断绝,2246
飞刀,2247
夺取,2248
血雨飞花,2254
旋风刃,2255
影牙,2257
攻其不备,2258
天之印,2259
忍术,2260
地之印,2261
缩地,2262
人之印,2263
生杀予夺,2264
风魔手里剑,2265
火遁之术,2266
雷遁之术,2267
冰遁之术,2268
风遁之术,2269
土遁之术,2270
水遁之术,2271
通灵之术,2272
车式浮空炮塔,2864
分裂弹,2866
独头弹,2868
散射,2870
热弹,2872
狙击弹,2873
虹吸弹,2874
整备,2876
野火,2878
弹射,2890
沥血剑,3538
王权剑,3539
圣光幕帘,3540
深仁厚泽,3541
盾阵,3542
斗魂旋风脚,3543
苍气炮,3545
斗气,3546
阴阳斗气斩,3547
裂石飞环,3549
地毁人亡,3550
原初的直觉,3551
泰然自若,3552
苍天龙血,3553
龙牙龙爪,3554
武神枪,3555
龙尾大回旋,3556
战斗连祷,3557
九天连箭,3558
放浪神的小步舞曲,3559
伶牙俐齿,3560
光阴神的礼赞凯歌,3561
侧风诱导箭,3562
强甲破点突,3563
梦幻三段,3566
垒石,3568
庇护所,3569
神名,3570
法令,3571
黑魔纹,3573
激情咏唱,3574
天语,3575
冰澈,3576
炽炎,3577
痛苦核爆,3578
毁荡,3579
三重灾祸,3580
龙神附体,3581
死星核爆,3582
不屈不挠之策,3583
气炎法,3584
展开战术,3585
应急战术,3586
转化,3587
抽卡,3590
重抽,3593
吉星,3594
吉星相位,3595
凶星,3596
灾星,3598
烧灼,3599
阳星,3600
阳星相位,3601
生辰,3603
白昼学派,3604
黑夜学派,3605
光速,3606
炽灼,3608
福星,3610
星位合图,3612
命运之轮,3613
先天禀赋,3614
重力,3615
重斩,3617
释放,3621
吸收斩,3623
伤残,3624
嗜血,3625
深恶痛绝,3629
血债,3631
噬魂斩,3632
弃明投暗,3634
暗影墙,3636
行尸走肉,3638
腐秽大地,3639
跳斩,3640
吸血深渊,3641
精雕怒斩,3643
演武,4262
太阳神之衡,4401
放浪神之箭,4402
战争神之枪,4403
世界树之干,4404
河流神之瓶,4405
建筑神之塔,4406
全蚀斩,7381
干预,7382
安魂祈祷,7383
圣灵,7384
武装戍卫,7385
猛攻,7386
动乱,7387
摆脱,7388
原初的解放,7389
血乱,7390
寂灭,7391
血溅,7392
至黑之夜,7393
金刚极意,7394
红莲极意,7395
义结金兰,7396
音速刺,7397
巨龙视线,7398
幻象冲,7399
死者之岸,7400
通灵之术·大虾蟆,7401
六道轮回,7402
天地人,7403
完美音调,7404
行吟,7405
烈毒咬箭,7406
狂风蚀箭,7407
大地神的抒情恋歌,7408
辉煌箭,7409
热冲击,7410
热分裂弹,7411
热独头弹,7412
热狙击弹,7413
枪管加热,7414
超档车式炮塔,7415
超负荷车式炮塔,7416
火焰喷射器,7418
魔纹步,7419
霹雷,7420
三连咏唱,7421
秽浊,7422
灵护,7423
剧毒菌,7424
瘴暍,7425
毁绝,7426
龙神召唤,7427
真龙波,7428
龙神迸发,7429
无中生有,7430
崩石,7431
神祝祷,7432
全大赦,7433
深谋远虑之策,7434
魔炎法,7435
连环计,7436
以太契约,7437
异想的融光,7438
地星,7439
祸星,7442
小奥秘卡,7443
王冠之领主,7444
王冠之贵妇,7445
震雷,7447
袖内抽卡,7448
死亡轮回,7449
刃风,7477
阵风,7478
士风,7479
雪风,7480
月光,7481
花车,7482
风雅,7483
满月,7484
樱花,7485
燕飞,7486
纷乱雪月花,7487
天下五剑,7488
彼岸花,7489
必杀剑·震天,7490
必杀剑·九天,7491
必杀剑·晓天,7492
必杀剑·夜天,7493
必杀剑·回天,7494
叶隐,7495
必杀剑·红莲,7496
默想,7497
心眼,7498
明镜止水,7499
必杀剑·星眼,7501
慈眼,7502
摇荡,7503
回刺,7504
赤闪雷,7505
短兵相接,7506
赤疾风,7507
散碎,7509
赤火炎,7510
赤飞石,7511
交击斩,7512
划圆斩,7513
赤治疗,7514
移转,7515
连攻,7516
飞刺,7517
促进,7518
六分反击,7519
鼓励,7520
倍增,7521
赤复活,7523
震荡,7524
赤核爆,7525
赤神圣,7526
魔回刺,7527
魔交击斩,7528
魔连攻,7529
魔划圆斩,7530
铁壁,7531
挑衅,7533
雪仇,7535
退避,7537
插言,7538
下踢,7540
内丹,7541
浴血,7542
真北,7546
亲疏自行,7548
牵制,7549
伤头,7551
伤足,7553
伤腿,7554
速行,7557
沉稳咏唱,7559
昏乱,7560
即刻咏唱,7561
醒梦,7562
康复,7568
营救,7571
扫腿,7863
居合术,7867
融光解除,7869
星体爆轰,8324
奥秘卡废弃,9629
鼻息,11383
4星吨,11384
水炮,11385
苦闷之歌,11386
高压电流,11387
臭气,11388
狂乱,11389
水流吐息,11390
平原震裂,11391
橡果炸弹,11392
怒发冲冠,11393
精神冲击,11394
吸血,11395
投弹,11396
千针刺,11397
钻头炮,11398
诡异视线,11399
锋利菜刀,11400
若隐若现,11401
火炎放射,11402
拍掌,11403
怒视,11404
导弹,11405
白风,11406
终极针,11407
自爆,11408
融合,11409
油性分泌物,11410
破防,11411
滑舌,11412
螺旋尾,11413
5级石化,11414
月之笛,11415
死亡宣告,11416
强力守护,11417
冰棘屏障,11418
寒冰咆哮,11419
雷电咆哮,11420
惊奇光,11421
喷墨,11422
投掷沙丁鱼,11423
超硬化,11424
火投枪,11425
飞翎雨,11426
地火喷发,11427
轰雷,11429
冰雪乱舞,11430
水神的面纱,11431
瀑泻,15989
喷泉,15990
逆瀑泻,15991
坠喷泉,15992
风车,15993
落刃雨,15994
升风车,15995
落血雨,15996
标准舞步,15997
技巧舞步,15998
蔷薇曲脚步,15999
小鸟交叠跳,16000
绿叶小踢腿,16001
金冠趾尖转,16002
标准舞步结束,16003
技巧舞步结束,16004
剑舞,16005
闭式舞姿,16006
扇舞·序,16007
扇舞·破,16008
扇舞·急,16009
前冲步,16010
进攻之探戈,16011
防守之桑巴,16012
百花争艳,16013
即兴表演,16014
治疗之华尔兹,16015
利刃斩,16137
无情,16138
残暴弹,16139
伪装,16140
恶魔切,16141
王室亲卫,16142
闪雷弹,16143
危险领域,16144
迅连斩,16145
烈牙,16146
猛兽爪,16147
星云,16148
恶魔杀,16149
凶禽爪,16150
极光,16151
超火流星,16152
音速破,16153
粗分斩,16154
续剑,16155
撕喉,16156
裂膛,16157
穿目,16158
弓形冲波,16159
光之心,16160
石之心,16161
爆发击,16162
命运之环,16163
血壤,16164
爆破领域,16165
单色标准舞步结束,16191
双色标准舞步结束,16192
单色技巧舞步结束,16193
双色技巧舞步结束,16194
三色技巧舞步结束,16195
四色技巧舞步结束,16196
日珥斩,16457
圣环,16458
悔罪,16459
赎罪剑,16460
调停,16461
秘银暴风,16462
混沌旋风,16463
原初的勇猛,16464
狂魂,16465
暗黑波动,16466
暗黑锋,16467
刚魂,16468
暗影波动,16469
暗影锋,16470
暗黑布道,16471
掠影示现,16472
四面脚,16473
万象斗气圈,16474
无我,16475
六合星导脚,16476
山境酷刑,16477
高跳,16478
龙眼雷电,16479
坠星冲,16480
必杀剑·闪影,16481
意气冲天,16482
燕回返,16483
回返彼岸花,16484
回返五剑,16485
回返雪月花,16486
照破,16487
八卦无刃杀,16488
命水,16489
劫火灭却之术,16491
冰晶乱流之术,16492
分身之术,16493
影噬箭,16494
爆发射击,16495
绝峰箭,16496
自动弩,16497
钻头,16498
毒菌冲击,16499
空气锚,16500
后式自走人偶,16501
超档后式人偶,16502
打桩枪,16503
铁臂拳,16504
绝望,16505
灵极魂,16506
异言,16507
灵攻I,16509
能量抽取,16510
迸裂,16511
灵攻II,16512
不死鸟附体,16513
灵泉之炎,16514
炼狱之炎,16515
不死鸟迸发,16516
不死鸟之翼,16517
天启,16518
赤焰,16519
黄宝石之辉,16520
绿宝石之辉,16521
大地之铠,16522
螺旋气流,16523
赤震雷,16524
